com.edu.task1.entity.Repair
dateTime;carServise;machine;amount;mechanic
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Car@5ba23b66;0.91302866201941224044702494211378507316112518310546875;com.edu.task1.entity.Mechanic@3f0ee7cb
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@75bd9247;0.52212734015142736598846795459394343197345733642578125;com.edu.task1.entity.Mechanic@3f0ee7cb
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@7d417077;0.1693958790521266077888640211313031613826751708984375;com.edu.task1.entity.Mechanic@7dc36524
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Car@35bbe5e8;0.6175517895599493822800241105142049491405487060546875;com.edu.task1.entity.Mechanic@3f0ee7cb
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@2c8d66b2;0.07490334284133581821407688039471395313739776611328125;com.edu.task1.entity.Mechanic@5a39699c
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@3cb5cdba;0.43337666142266273450189828508882783353328704833984375;com.edu.task1.entity.Mechanic@56cbfb61
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@1134affc;0.1986295739398349358140194453881122171878814697265625;com.edu.task1.entity.Mechanic@d041cf
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@129a8472;0.60585677727880160592377478678827174007892608642578125;com.edu.task1.entity.Mechanic@1b0375b3
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@2f7c7260;0.56942397828707413953708282861043699085712432861328125;com.edu.task1.entity.Mechanic@56cbfb61
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@2d209079;0.91119941693593242693083311678492464125156402587890625;com.edu.task1.entity.Mechanic@1b0375b3
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Bus@6bdf28bb;0.94860520686774751908387770527042448520660400390625;com.edu.task1.entity.Mechanic@5a39699c
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@6b71769e;0.13899790576959247800914454273879528045654296875;com.edu.task1.entity.Mechanic@5a39699c
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@2752f6e2;0.52996352027310134058524226929876022040843963623046875;com.edu.task1.entity.Mechanic@7dc36524
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Bus@e580929;0.3910564931339706173929471333394758403301239013671875;com.edu.task1.entity.Mechanic@5a39699c
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Car@1cd072a9;0.3516168486258448577785884481272660195827484130859375;com.edu.task1.entity.Mechanic@5a39699c
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@7c75222b;0.90858762287904382137782022255123592913150787353515625;com.edu.task1.entity.Mechanic@1b0375b3
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Truck@4c203ea1;0.67421201012592246737398227196536026895046234130859375;com.edu.task1.entity.Mechanic@27f674d
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Bus@1d251891;0.781930336884781862494264714769087731838226318359375;com.edu.task1.entity.Mechanic@27f674d
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Bus@48140564;0.06888598476996443675801629069610498845577239990234375;com.edu.task1.entity.Mechanic@7dc36524
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Car@58ceff1;0.95246600123800628789894062720122747123241424560546875;com.edu.task1.entity.Mechanic@7c30a502
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Car@49e4cb85;0.44886317830478461576859672277350910007953643798828125;com.edu.task1.entity.Mechanic@1b0375b3
Tue Dec 19 21:21:46 IRKT 2017;com.edu.task1.entity.CarService@6debcae2;com.edu.task1.entity.Bus@2133c8f8;0.134108111590681033931105048395693302154541015625;com.edu.task1.entity.Mechanic@56cbfb61
